,Establishment,Rating,Review Count,Address,countryCode,District,Star Rating,Distance,Level,type,image
143,Hotel,9.7,1379,Vladislavova 52/19,cz,Prague 1,4,0.7,L3,GOLD,https://cf.bstatic.com/xdata/images/hotel/square600/228385803.jpg?k=0646d7a8871333a59ba640be018ee1aa7b5f65a73750ecb7f5006854a3196f66&o=
144,Hotel,9.3,424,Legerova 62,cz,Prague 2,3,1.5,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/422901229.jpg?k=9858477f50c06303e4c3326aec9a803229b491e164266785bf5176fefba35020&o=
145,Residence,9.5,667,4 Jilská,cz,Prague 1,4,0.35,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/219347195.jpg?k=763e3e9705008845f383a293e40837f31ba21fb9cac0a732bce0c8a9945630ec&o=
146,Hotel,9.8,1657,Senovážná 4,cz,Prague 1,4,0.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/61560972.jpg?k=d98bce8465e212ace4ffa1c37dd62734241a3115a4d48867e99e39a812a0b274&o=
147,other,0.0,0,8 Mikulášská,cz,Prague 1,3,0.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/409573874.jpg?k=aacdd3660106960c07138edab45388d1debd848966497041a5193093999d1354&o=
148,other,0.0,3909,Veletržní 20,cz,Prague 7,4,1.9,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/335315178.jpg?k=682cdc5e25e087896ac35eb00f152a1dd020745061fe4bb462201191785a1607&o=
149,Apartment,0.0,35,Musílkova 1311/5d,cz,Prague 5,3,4.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/49876814.jpg?k=2db7dd4b424bade9b81cff04e5807f9e1fb90abc348fec95fda61ace725b7852&o=
150,Residence,9.6,343,17 Václavské náměstí,cz,Prague 1,4,0.6,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/421846467.jpg?k=9e00f1ff427d3ef36e48cea0fbc6aa12434510e18bdeed934a535f25cb150cf4&o=
151,Hotel,0.0,1338,Sokolská 48,cz,Prague 2,3,1.6,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/146995915.jpg?k=6121464515e3a3c374a31ab760c01bfa3ffdcacd677c32a5e54aa633a7c9da7a&o=
152,Residence,9.8,1474,29 Celetná,cz,Prague 1,4,0.35,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/421846669.jpg?k=e56d165b8e92eacbe1166214cdd30fb4587dea4515a260ec0ab51ad9a8ccdc0d&o=
153,Hotel,9.5,1048,Náměstí Curieových,cz,Prague 1,5,0.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/125168800.jpg?k=c3b6a473d87b119a3efe532e9e65ceca62fa8c8180c38ed4466b1a49b1202f5a&o=
154,Hotel,0.0,1568,Seifertova 65,cz,Prague 3,4,0.002,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/139175565.jpg?k=c07390d74e83191703e09d78f90ec5e29edd0f2f37c90517a81d50bb432de2cd&o=
155,Hotel,0.0,1107,Před nádražím 6,cz,Prague 4,4,6.1,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/359863520.jpg?k=ae5d2b808d648329a8d46cbec75978121450456bdef5805fa249c1dd4750ae9a&o=
156,Hotel,0.0,690,Ostrovského 20,cz,Prague 5,3,2.5,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/100923368.jpg?k=e7a5fc1a53e747b7c2f08a55833c3cccd214ec7b4471ed2876026768211d802c&o=
157,Hotel,9.3,824,Washingtonova 1600/19,cz,Prague 1,5,0.001,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/34700219.jpg?k=63118788e2cc2762effcab8f5c45e8e2802661c304861cc27e2b58217d51fd68&o=
158,Apartment,0.0,98,Klimentská 48,cz,Prague 1,3,1.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/288306818.jpg?k=913e18f8f8e3cd626324c137ffc33014ad21e12c3e981d346eaa76a0b37bbc6d&o=
159,Apartment,9.8,169,Havelska 11,cz,Prague 1,4,0.25,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/59739772.jpg?k=b1c0457ef7a3f68b4f1cc32bc2e5d40d23c0e7431f46b31d3739f7363daad695&o=
160,Hotel,9.6,2059,Liliová 1070/18,cz,Prague 1,4,0.35,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/148765504.jpg?k=0fe5055947557b2ed045fff7f312e1aa807a938204f331487c4cc8c0b0fd8017&o=
161,Hotel,0.0,3911,Borivojova 53,cz,Prague 3,4,2.3,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/14209572.jpg?k=7f1a4fdb702418697d92dc5164a864cf83e078436becd943315ca760acb57a69&o=
162,Hotel,0.0,2312,Křižíkova 11,cz,Prague 8,3,1.4,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/62665125.jpg?k=d07267c71a446563a4428ddef572447a73378a0466277e4eea16c22365c0bfff&o=
163,Hotel,0.0,2848,Zitna 561/8 Nove Mesto,cz,Prague 2,5,1.1,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/232797679.jpg?k=e64013bcd405f393839f3d0e43a214c493f41be883499124aff185dd389e8864&o=
164,Hotel,9.5,1558,Rybná 8,cz,Prague 1,3,0.4,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/103125254.jpg?k=211ad9fa066f7ea6644524d9239cc09ab0e53e1d13e3a283280ad742994ac2d0&o=
165,other,9.8,857,Vejvodova 8,cz,Prague 1,4,0.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/23942231.jpg?k=abb3cfc9931a395efeea5b80c5be94a943a4c46180683248151f5397a417b468&o=
166,other,0.0,1976,Na Pankraci 15/1684,cz,Prague 4,4,0.003,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/274094266.jpg?k=87a91edf9ee4a02d17d04e3eb3e295dc34f4ce634bc6f909b61a57fbab6ad95d&o=
167,other,0.0,643,Na Morani 15,cz,Prague 2,4,1.5,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/406454400.jpg?k=516ef1f5329f31fcb4977f02e056984bda3c3af13e2de21b64bd592bca8cc929&o=
168,Hotel,9.5,3709,Národní 33,cz,Prague 1,4,0.5,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/13302167.jpg?k=f4a531691c579d3005bc91bf3fee5c4f8e71251105a967dd32e9b446c9a5b664&o=
169,Apartment,0.0,68,133 Bělohorská Apt. 3,cz,Prague 6,3,4.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/197689310.jpg?k=f502f6d3e3d049284ad91b190f61e4494f4961d1717afdfcddf039f713919e71&o=
170,Residence,0.0,71,U Sluncove,cz,Prague 8,3,3.2,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/410571457.jpg?k=359405879dca7d32ac0fe93eb4ed476fb9803af94bea87b0ee776b1d1ac326ce&o=
171,Hotel,9.8,988,Staromestske Namesti 29,cz,Prague 1,5,0.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/32078962.jpg?k=37a6d1cd266c96685631fbd16ced113a5f8314801026f854cf59f70d214cdbbc&o=
172,Boutique,9.3,753,26 Americká,cz,Prague 2,4,0.002,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/242637513.jpg?k=c3a3c7eda3f75e9655c3c3eb358c5529aa5d1de2a5757b44e8b43c494de9ba59&o=
173,other,0.0,100,2 Pod vrstevnicí,cz,Prague 4,3,5.8,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/224509760.jpg?k=df28c540fad8a1993a7a25ab9144fc36a3d2eb6f871855e9f340d4ed91c5fac1&o=
174,other,0.0,940,Thamova 26,cz,Prague 8,3,2.3,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/190916492.jpg?k=6cc35ca21a2197e213f757498be646a8f9d128300b3e96d2637b9b47f6372075&o=
175,other,9.3,1374,Na Poříčí 1048/30,cz,Prague 1,3,0.001,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/272398313.jpg?k=0e71f1875d8487676668eadd7da4e3fb179536788cb11b199498625b9e22815c&o=
176,Apartment,9.5,1227,Revoluční 18,cz,Prague 1,4,0.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/19491982.jpg?k=098dfe93a3c56efa827b0756b7978eb017a4b2b71f9b752c691313dea28143f1&o=
